sen	wrong_sen	lemma	token_form	swap_direction	npi_to_neg_distance	sent_len	env	multiple_npis	npi_count	sent_id	quantity_level	replacement
It suddenly did not seem to matter anymore.	It suddenly did seem to matter anymore.	anymore	anymore	unknown	4	8	neg	False	1	en_lines-ud-train-doc2-414	None	None
But the time had not yet come for such a step.	But the time had yet come for such a step.	yet	yet	unknown	1	11	neg	False	1	en_lines-ud-train-doc2-540	None	None
There was no mention of a detective agency, but that did not necessarily mean anything.	There was no mention of a detective agency, but that did necessarily mean anything.	anything	anything	unknown	3	15	neg	False	1	en_lines-ud-train-doc2-617	None	None
In Jakov Lind's interesting brief book on Israel, Ben-Gurion is quoted as saying, "The Jews know hardly anything of a hell that might await them.	In Jakov Lind's interesting brief book on Israel, Ben-Gurion is quoted as saying, "The Jews know easily anything of a hell that might await them.	anything	anything	unknown	1	25	DE_licensor	False	1	en_lines-ud-train-doc3-1047	None	None
His remark did not seem at all surprising.	His remark did seem at all surprising.	at_all	at	unknown	-100	8	neg	False	1	en_lines-ud-train-doc4-1243	None	None
There's no initiation either into such mysteries.	There's initiation either into such mysteries.	either	either	unknown	2	7	n_series_neg	False	1	en_lines-ud-train-doc4-1263	None	None
The cliff was not in the way or anything; but this objectless blasting was all the work going on.	The cliff was in the way or anything; but this objectless blasting was all the work going on.	anything	anything	unknown	5	19	neg	False	1	en_lines-ud-train-doc4-1404	None	None
As to me, I had hardly ever spoken to him before.	As to me, I had easily ever spoken to him before.	ever	ever	unknown	1	11	DE_licensor	False	1	en_lines-ud-train-doc4-1548	None	None
I do not agree with him at all.	I do agree with him at all.	at_all	at	unknown	-100	8	neg	False	1	en_lines-ud-train-doc5-1903	None	None
There was no air at all in the living-room, and a strong smell of hot fat.	There was air at all in the living-room, and a strong smell of hot fat.	at_all	at	unknown	-100	16	n_series_neg	False	1	en_lines-ud-train-doc6-2093	None	None
All of his family had worn clean clothes to work, that was their pride, but none had ever worn clean clothes home.	All of his family had worn clean clothes to work, that was their pride, but some had ever worn clean clothes home.	ever	ever	unknown	2	22	n_series_neg	False	1	en_lines-ud-train-doc8-3005	None	None
I did not, any longer, want to persuade anyone of anything.	I did, any longer, want to persuade anyone of anything.	anything	anything	unknown	10	11	neg	False	1	en_lines-ud-train-doc9-5420	None	None
She was absolutely ignorant, he continued, even of basic history and geography, and would say the most embarrassing things in company, without any sense of shame at all.	She was absolutely ignorant, he continued, even of basic history and geography, and would say the most embarrassing things in company, with any sense of shame at all.	at_all	at	unknown	-100	28	without_licensor	False	1	en_lines-ud-train-doc9-5422	None	None
I do not understand it at all.	I do understand it at all.	at_all	at	unknown	-100	7	neg	False	1	en_lines-ud-train-doc9-5631	None	None
nothing was ever perfect, he said.	something was ever perfect, he said.	ever	ever	unknown	2	6	n_series_neg	False	1	en_lines-ud-train-doc9-5685	None	None
Quinn did not say anything.	Quinn did say anything.	anything	anything	unknown	2	5	neg	False	1	en_lines-ud-dev-doc2-3422	None	None
Out of a kind of jealousy of the new young men from Britain and America who were so careful to show their lack of colour-feeling by avoiding tainted words and addressing people by polite forms, he ecklessly used the old settler vocabulary that reflected an attitude he had had no part of, ever.	Out of a kind of jealousy of the new young men from Britain and America who were so careful to show their lack of colour-feeling by avoiding tainted words and addressing people by polite forms, he ecklessly used the old settler vocabulary that reflected an attitude he had had part of, ever.	ever	ever	unknown	4	53	n_series_neg	False	1	en_lines-ud-dev-doc6-3841	None	None
not that they ever made an effort.	That they ever made an effort.	ever	ever	unknown	3	7	neg	False	1	en_lines-ud-dev-doc6-3894	None	None
That marked him out from the many others who believed in nothing at all.	That marked him out from the many others who believed in something at all.	at_all	at	unknown	-100	14	n_series_neg	False	1	en_lines-ud-dev-doc8-4136	None	None
In the morning my father told me that we had identified an unknown signal, thought to be a vessel just ahead of us, though nothing at all was found.	In the morning my father told me that we had identified an unknown signal, thought to be a vessel just ahead of us, though something at all was found.	at_all	at	unknown	-100	29	n_series_neg	False	1	en_lines-ud-dev-doc8-4162	None	None
Not that they did anything particularly wrong, he said, they're nice enough people, I just don't think it would occur to me.	That they did anything particularly wrong, he said, they're nice enough people, I just don't think it would occur to me.	anything	anything	unknown	4	22	neg	False	1	en_lines-ud-dev-doc9-5461	None	None
But nothing had ever come of it, and he had felt stupid, as though there were a blind spot in the center of his brain.	But something had ever come of it, and he had felt stupid, as though there were a blind spot in the center of his brain.	ever	ever	unknown	2	25	n_series_neg	False	1	en_lines-ud-test-doc2-4406	None	None
He knows his own mind but he's not an intransigent fellow at all...	He knows his own mind but he's an intransigent fellow at all...	at_all	at	unknown	-100	13	neg	False	1	en_lines-ud-test-doc6-4955	None	None
The word he was looking for was authentic: his first marriage had been authentic in a way that nothing ever had again.	The word he was looking for was authentic: his first marriage had been authentic in a way that something ever had again.	ever	ever	unknown	1	22	n_series_neg	False	1	en_lines-ud-test-doc9-5374	None	None
Forts were also built in the older portions of New France that had not yet been settled.	Forts were also built in the older portions of New France that had yet been settled.	yet	yet	unknown	1	17	neg	False	1	w01054107	None	None
